Name,Title,Website URL,Wikipedia URL,Facebook URL,Instagram URL,LinkedIn URL,Bio Short,Bio,Featured Image URL
Siwa Therapeutics,Immunotherapy targeting senescent cells,https://siwatherapeutics.com,,,,,,Uses antibodies to kill senescent and tumor cells,"Siwa’s monoclonal antibodies detect a shared antigen on cancerous and senescent cells, potentially reversing aging processes.",
Retrotope,Biotech developing D-PUFA for neurodegeneration,https://retrotope.com,,,,,,Targets lipid peroxidation in neuro diseases,"Retrotope is investigating stabilized polyunsaturated fatty acids to prevent oxidative damage in cells, relevant to aging.",
Leucadia Therapeutics,Alzheimer’s-focused biotech (CSF flow),https://www.leucadiatherapeutics.com,,,,,,Works on glymphatic drainage to clear amyloid,"Leucadia aims to restore cerebrospinal fluid flow around the brain’s olfactory system to combat Alzheimer’s.",
Enduralife,Cardiac device longevity analytics,,,,,,,Researches pacemaker battery longevity and data,"Enduralife compiles data on pacemaker and ICD battery life to improve outcomes for older patients.",
Maze Therapeutics,Genomic medicine for age-related disorders,https://mazetx.com,,,,,,Leverages human genetic insights,"Maze Therapeutics uses large-scale human genetics to identify protective genetic variants for diseases of aging.",
RegenLab,Regenerative medicine products for orthopedics & aesthetics,https://www.regenlabusa.com,,,,,,Provides PRP and cell therapy kits,"RegenLab develops platelet-rich plasma systems used for tissue healing, potentially aiding older adults’ recovery.",
Mitrix Bio,Developing “mitochondria as a service”,https://www.mitrix.bio,,,,,,Aims to rejuvenate cells with healthy mitochondria,"Mitrix Bio is engineering methods to produce and deliver functional mitochondria to aging cells.",
NAD+ Cellz,Investigates NAD+ metabolic therapies,,,,,,,Works on boosting NAD+ levels,"NAD+ Cellz focuses on novel ways to increase NAD+ in tissues, targeting age-related decline in energy metabolism.",
Cyclarity Therapeutics,Formerly Human Rejuvenation Technologies (HRT),https://www.cyclaritytx.com,,,,,,Develops cyclodextrins to remove arterial plaque,"Cyclarity uses cyclodextrin derivatives to clear oxidized cholesterol, aiming to reduce atherosclerosis.",
Excision BioTherapeutics,Gene editing solutions for viral infections in aging,https://www.excision.bio,,,,,,Targets persistent viral infections that worsen with age,"Excision uses CRISPR-based gene editing to remove latent viruses like HIV, possibly improving immune function in older adults.",
X-Therma,Cryopreservation technologies for organ transplants,https://x-therma.com,,,,,,Innovates new cryoprotectants,"X-Therma’s non-toxic antifreeze polymer could extend viability of organs for transplantation, benefiting older patients.",
Smart Immune,Startup developing T-cell progenitor therapy,https://www.smart-immune.com,,,,,,Aims to rejuvenate the immune system,"Smart Immune is creating “thymus-reboot” therapies for immunocompromised patients, potentially reversing immunosenescence.",
Gordian Biotechnology,High-throughput in vivo screening for aging targets,https://www.gordian.bio,,,,,,Screens genetic targets in aging animals,"Gordian uses large-scale in vivo screens to find interventions that extend lifespan or improve healthspan.",
Everon Biosciences,Investigates small molecules for aging,,,,,,,Explores hormetic stress pathways,"Everon focuses on compounds that induce beneficial stress responses, hoping to prolong healthy aging.",
OneSkin,Skin longevity biotech,https://www.oneskin.co,,,,,,Formulates topical products targeting senescent cells,"OneSkin’s flagship product aims to reduce skin senescence markers and improve skin health in older adults.",
Repair Biotechnologies,Therapeutics for atherosclerosis and T1 diabetes,https://repairbiotechnologies.com,,,,,,Targets cholesterol metabolism and beta cell function,"Repair Biotechnologies is pursuing gene therapy to remove excess cholesterol and restore insulin production.",
NewLimit,Company from Brian Armstrong exploring epigenetic reprogramming,,,,,,,Backed by Coinbase co-founder, invests in reprogramming research,"NewLimit is investigating ways to reverse cellular aging by modifying epigenetic markers.",
VantAI,AI-driven protein design for age-related diseases,https://vant.ai,,,,,,Uses computational tools to discover new protein therapeutics,"VantAI employs structure-based drug design for potential geroprotective proteins.",
MAX BioPharma,Focus on oxysterol signaling in aging,https://www.maxbiopharma.com,,,,,,Develops small molecules regulating bone and lipid metabolism,"MAX BioPharma researches oxysterols that may influence aging, cancer, and metabolic disorders.",
Shift Bioscience,Mitochondrial enhancement for aging,https://shiftbioscience.com,,,,,,Aims to program mitochondria to a younger state,"Shift Bioscience uses gene editing and metabolic reprogramming to restore youthful mitochondrial function.",
Revel Pharmaceuticals,Crosslink breaking for aging tissues,,,,,,,Works on molecules to break advanced glycation end-products,"Revel aims to degrade protein crosslinks that accumulate with age, improving elasticity of tissues like arteries and skin.",
YouthBio Therapeutics,Gene therapy to lengthen telomeres,,,,,,,Focuses on telomerase activation in somatic cells,"YouthBio is investigating treatments to safely activate telomerase without cancer risk, reversing telomere shortening.",
Infinita Life Science,NAD+ and sirtuin-based therapies,,,,,,,Studies boosting sirtuin pathways for longevity,"Infinita aims to identify new molecules that enhance sirtuin activity, building on NAD+ research.",
FoxBio-2,Second project rumored under FoxBio brand,,,,,,,Possibly investigating immunity and epigenetics,"Little public info is available; may focus on immune rejuvenation for older adults.",
RepairStem,Stem cell therapy for cartilage, bone, and muscle,,,,,,,Offers adult stem cell treatments in clinics,"RepairStem is exploring ways to slow age-related musculoskeletal degeneration using autologous stem cell injections.",
Icaria Life Sciences,Data analytics for longevity trials,,,,,,,Provides software for longevity biotech studies,"Icaria helps biotech companies manage and analyze clinical trial data specific to aging endpoints.",
Siwa-2,Second pipeline under Siwa Therapeutics brand,,,,,,,Expands on immunotherapy for aging cells,"Focus unknown, believed to further senescent cell clearance with antibody approaches.",
Sino Longevity Institute,China-based R&D on healthy aging,,,,,,,Conducts research on TCM-based and modern therapies,"Sino Longevity Institute merges traditional Chinese medicine with modern biotech for age-related diseases.",
Mediq Longevity,Health management clinics for older adults,,,,,,,Offers personalized healthcare packages,"Mediq Longevity focuses on preventative care, metabolic health, and nutrition for middle-aged and seniors.",
CryoThrive,Cryonics and advanced organ preservation,,,,,,,Explores ultra-cold preservation solutions,"CryoThrive provides services in cryopreservation and is researching ways to preserve organs longer for transplantation.",
BioArkive,Biobanking and sample management for longevity research,,,,,,,Stores biological samples for extended use,"BioArkive offers storage for tissues, cells, and biomaterials used in aging studies.",
Octarine Bio,Synthetic biology for longevity-related molecules,https://octarinebio.com,,,,,,Produces natural molecules (e.g., psilocybin) through yeast,"Octarine leverages synthetic biology to produce complex molecules that may have applications in mental health and possibly aging.",
FourteenFish Research,Data-driven approach to geriatric conditions,,,,,,,Develops analytics tools for doctors treating older adults,"FourteenFish collects real-world data to improve treatments for age-related diseases.",
Astra BioRejuvenation,Exosome-based anti-aging therapies,,,,,,,Uses extracellular vesicles for tissue repair,"Astra BioRejuvenation harnesses stem-cell-derived exosomes to regenerate aged or damaged tissues.",
Naluri Labs,Digital mental health to reduce age-related stress,https://www.naluri.life,,,,,,Provides app-based coaching to seniors,"Naluri’s programs aim to improve resilience and mental well-being in older populations.",
Regenos,Tissue regeneration for degenerative diseases,,,,,,,Combines stem cells with advanced scaffolds,"Regenos works on cartilage, bone, and muscle repair solutions, primarily for age-related wear.",
Senisca,RNA-based approach to reverse senescence,https://senisca.com,,,,,,Targets the splicing factors that become dysregulated with age,"Senisca aims to restore splicing factor levels to rejuvenate old cells and tissues.",
RegenaLife,Nutrition supplements focusing on longevity,,,,,,,Develops nutraceuticals for healthy aging,"RegenaLife sources plant compounds that may support metabolic and cellular health in aging.",
Avellino Labs,Genetic testing for eye diseases in aging,https://www.avellino.com,,,,,,Uses gene sequencing for conditions like keratoconus,"Avellino provides tests to detect inherited corneal dystrophies, aiming to reduce vision loss in older adults.",
Mylennium,AI-based drug discovery for degenerative diseases,,,,,,,Focuses on polypharmacology for late-life diseases,"Mylennium’s platform tries to identify multi-target drugs that address complex aging-related conditions.",
VitaDAO,Decentralized collective funding longevity research,https://www.vitadao.com,,,,,,Blockchain-based funding of early-stage aging projects,"VitaDAO pools resources to invest in new longevity science, distributing IP ownership among token holders.",
Longevity Vision Fund,Venture fund by Sergey Young investing in longevity,https://longevityvisionfund.com,,,,,,Invests in technologies aiming to extend human lifespans,"Longevity Vision Fund supports companies targeting biotechnology, AI, and healthcare to improve longevity and healthy aging.",
LifeArc,Medical research charity supporting translational science,https://www.lifearc.org,,,,,,Funds aging-related translational research,"LifeArc invests in translational medicine projects including those relevant to age-related conditions.",
Juvenile Therapeutics,Focus on reversing aspects of immunosenescence,,,,,,,Explores immune cell reprogramming,"Juvenile Therapeutics tries to restore youthful immune function, preventing opportunistic infections in aging.",
Longaevus Technologies,AI platform analyzing epigenetic age,,,,,,,Develops multi-omics epigenetic clocks,"Longaevus aims to refine biological age measurements, enabling personalized anti-aging strategies.",
CellTime,Research on circadian rhythm interventions for aging,,,,,,,Develops small molecules to optimize circadian health,"CellTime focuses on maintaining robust circadian cycles to slow aging-related decline.",
Exosync,Exosome manufacturing for geriatric therapies,,,,,,,Produces standardized exosomes at scale,"Exosync provides GMP exosomes for clinical trials in regenerative medicine.",
Alkahest,Plasma-based therapies for aging (acquired by Grifols),https://alkahest.com,,,,,,Targets soluble factors in young blood,"Alkahest developed plasma fraction therapies shown to rejuvenate cognition in preclinical models.",
AmplifyBio,CRO specializing in longevity and regenerative trials,https://amplify-bio.com,,,,,,Provides preclinical testing for new therapies,"AmplifyBio works with biotech firms to test regenerative and anti-aging therapies in vivo.",
Aion Labs,Israel-based AI consortium for drug discovery,https://www.aionlabs.com,,,,,,Joint venture focusing on longevity, among other areas,"Aion Labs fosters AI-driven drug discovery startups, some of which target age-related diseases.",
Oceania Longevity,Australia-based group promoting aging research,,,,,,,Advocates for more government support in geroscience,"Oceania Longevity organizes conferences and policy initiatives for healthy aging in the region.",
Odin Biotech,CRISPR therapies for muscle aging,,,,,,,Explores gene editing to preserve muscle mass,"Odin Biotech aims to increase muscle regeneration and reduce sarcopenia in older adults.",
HemeEvolution,RBC rejuvenation for older adults,,,,,,,Enhances red blood cell function in aging,"HemeEvolution is investigating treatments to prolong RBC lifespan and quality, reducing anemia in older populations.",
ProtAge Laboratories,Proteostasis research for neurodegeneration,,,,,,,Targets protein misfolding diseases,"ProtAge focuses on small molecules that restore proteostasis and limit age-related protein aggregates.",
SarcoHealth,Muscle health interventions for longevity,,,,,,,Develops therapies to combat age-related muscle loss,"SarcoHealth researches anabolic signals and myostatin inhibition to preserve muscle mass.",
InSilicoTrials,Digital simulation platform for longevity clinical trials,https://www.insilicotrials.com,,,,,,Creates virtual trials to speed up R&D,"InSilicoTrials aims to reduce drug development time and cost for aging interventions using computational models.",
XY Pharmaceuticals,Investigating Y-chromosome reprogramming in males,,,,,,,Studies male-specific age markers,"XY is exploring whether changes in the Y chromosome accelerate male aging and how to mitigate them.",
AgeMeter,Creates devices to measure functional age,https://agemeter.com,,,,,,Offers assessment tools to track aging biomarkers,"AgeMeter provides physical and cognitive tests to estimate functional age more accurately than chronological age.",
SingleCellAge,Single-cell transcriptomics for aging research,,,,,,,Maps aging at the single-cell level,"SingleCellAge profiles gene expression in individual cells across tissues to identify drivers of aging.",
Gensight Biologics,Gene therapy for mitochondrial diseases,https://www.gensight-biologics.com,,,,,,Focuses on Leber’s Hereditary Optic Neuropathy,"Though specialized, improvements could eventually benefit age-related mitochondrial decline.",
SCG Cell Therapy,Mesenchymal stem cell (MSC) therapies for age-related issues,,,,,,,Develops MSC-based interventions to reduce inflammation,"SCG Cell Therapy researches advanced MSC lines that secrete factors to help older tissues recover.",
QLS (Quantified Longevity Solutions),Provides longevity biomarkers testing services,,,,,,,Offers multi-omic panels to track biological aging,"QLS integrates blood biomarkers, epigenetics, and other measures into a single report for individuals.",
Prolifica,Investigates prophylactic strategies for multiple geriatric diseases,,,,,,,Aims to combine interventions to prevent comorbidities,"Prolifica’s pipeline includes polypills and lifestyle modules to stave off multiple age-related conditions simultaneously.",
Cellivate,Cellular rejuvenation solutions for cosmetic and therapeutic use,,,,,,,Produces cultured fibroblasts to restore tissue youth,"Cellivate provides fibroblast therapies that might reduce wrinkles and improve wound healing.",
BrainKey Labs,Brain imaging and longevity analytics,,,,,,,Uses MRI data to track brain aging patterns,"BrainKey Labs offers personalized 3D brain models for older adults to monitor structural changes.",
ImmuSmol,Immunoassays for longevity biomarkers,,,,,,,Develops kits for detecting sirtuins, NAD+, etc.,"ImmuSmol creates specialized antibodies and assays to measure biomarkers related to aging.",
Ironomics,Targets iron overload in aging,,,,,,,Develops chelators and regulatory molecules,"Ironomics addresses the role of iron accumulation in age-related oxidative stress and diseases.",
Ampligen Rejuvenation,Investigates Ampligen (drug) for immune aging,,,,,,,Trials Ampligen for reversing age-related immune decline,"Ampligen Rejuvenation explores whether the known antiviral immunomodulator can enhance immune function in older adults.",
Biocellvia,Imaging analysis for age-related lung conditions,,,,,,,Provides AI-based lung imaging solutions,"Biocellvia’s tools measure fibrosis and other changes, aiding research into aging lungs.",
AgeRate,Consumer test to measure epigenetic age,https://agerate.ca,,,,,,Offers direct-to-consumer epigenetic testing,"AgeRate provides at-home saliva kits to estimate biological age using DNA methylation.",
Viscient Biosciences,3D bioprinting for organ disease modeling,,,,,,,Creates 3D organ models to test anti-aging therapies,"Viscient’s 3D-printed tissues can screen potential drugs for age-related organ decline.",
NeurAging Therapeutics,Focus on neurodegenerative diseases in aging,,,,,,,Develops therapies for Parkinson’s and Alzheimer’s,"NeurAging addresses protein misfolding and synaptic dysfunction in elderly patients.",
Globe Biotech Aging,Division exploring global approaches to age-related diseases,,,,,,,Collaborates with multiple labs for geriatric solutions,"Globe Biotech Aging unites research across continents to find broad-spectrum anti-aging treatments.",
ReAni Therapeutics,Heart regeneration therapies for older adults,,,,,,,Develops myocardial repair solutions,"ReAni focuses on reducing cardiac fibrosis and restoring function in aging hearts.",
DermaAge Labs,Cosmetic science for anti-aging skin,,,,,,,Produces peptide-based serums and creams,"DermaAge Labs uses clinically tested peptides to reduce wrinkles and age spots.",
FlowOx,Blood flow enhancement devices for vascular aging,,,,,,,Offers wearable compression devices,"FlowOx addresses peripheral artery disease and poor circulation common in older adults.",
Panacea Longevity Clinic,Integrative medical clinic for aging,,,,,,,Provides hormone therapy, IV drips, lifestyle coaching,"Panacea merges conventional and alternative treatments aimed at extending healthy lifespan.",
ReGeneX,Bone marrow rejuvenation R&D,,,,,,,Studies ways to preserve or restore bone marrow function,"ReGeneX is developing methods to expand youthful hematopoietic stem cells for older individuals.",
NovoMind Age,AI diagnostics for mental health in seniors,,,,,,,Tracks changes in cognition and mood,"NovoMind Age uses AI-based tests to detect early signs of cognitive decline in aging populations.",
CardiAge,Heart age assessment technologies,,,,,,,Offers tools to calculate and monitor “heart age”,"CardiAge’s platform measures risk factors, arterial stiffness, and biomarkers to produce a heart-specific aging metric.",
GeroSense,Consumer wearable platform measuring aging rates,,,,,,,Tracks daily data to estimate real-time aging speed,"GeroSense uses wearable sensors (HRV, activity, sleep) to estimate how lifestyle choices affect daily aging rate.",
Turritopsis Labs,Named after the immortal jellyfish, researching regeneration,,,,,,,Investigates species that show negligible senescence,"Turritopsis Labs aims to translate insights from immortal or long-lived organisms to human therapies.",
ImmuneAge Therapeutics,T-Cell and B-Cell rejuvenation programs,,,,,,,Seeks to reverse immunosenescence in lymphocytes,"ImmuneAge attempts to expand naive T-cells in older adults and restore robust immune responses.",
Viome Life Sciences,Gut microbiome testing and dietary suggestions,https://www.viome.com,,,,,,Analyzes microbiome to recommend personalized nutrition,"Viome uses RNA sequencing of gut flora to guide diets that may support healthy aging.",
AgeTech Lab,Research group incubating new longevity tech,,,,,,,Collaborates with universities and startups,"AgeTech Lab fosters spinoffs in AI, sensor tech, and biotech targeting extended healthy lifespan.",
Chronomics,Epigenetic testing for wellness,https://www.chronomics.com,,,,,,Provides direct epigenetic testing and insights,"Chronomics focuses on at-home test kits measuring biological age, lifestyle factors, and epigenetic changes.",
Heka Biosciences,Peptide-based therapeutics for aging pathways,,,,,,,Designs peptides to modulate key aging signals,"Heka Biosciences aims to create peptides that can safely target mTOR, sirtuins, or senescence.",
Eternis Biotech,Startup exploring non-coding RNAs for longevity,,,,,,,Studies microRNAs and lncRNAs in age-related decline,"Eternis researches how modulating non-coding RNAs may slow or reverse aspects of aging.",
ABC Regen,Cartilage regeneration biotech,,,,,,,Aims to fix osteoarthritis in older joints,"ABC Regen uses scaffolds or cell injections to help cartilage recover from degenerative damage.",
Timeless Biotech,Focused on advanced glycation end-product breakers,,,,,,,Works on compounds that remove AGEs,"Timeless Biotech tries to develop safe agents to break sugar-protein crosslinks that accumulate with age.",
Dermulo,3D-printed skin equivalents for anti-aging testing,,,,,,,Provides testing platforms for cosmetic and pharma,"Dermulo’s 3D-printed human skin models help evaluate potential anti-aging compounds without animal testing.",
Sirtlab,Sirtuin research organization,,,,,,,Studies SIRT1-7 roles in longevity,"Sirtlab delves into how sirtuins regulate metabolism, DNA repair, and aging, seeking new drug candidates.",
Auctus Biologics,Startup focusing on muscle stem cell expansion,,,,,,,Tries to keep satellite cells youthful,"Auctus researches ways to preserve or expand satellite cells for muscle regeneration in older adults.",
OrgaPrin,Bioprinting organs for age-related organ failure,,,,,,,Develops 3D-printed tissues for transplant,"OrgaPrin’s long-term goal is to print functional organ replacements to address organ shortages in older patients.",
EyeSpan,Therapies for age-related macular degeneration,,,,,,,Investigates protective factors for retinal cells,"EyeSpan focuses on halting or reversing AMD, a leading cause of vision loss in the elderly.",
VitaDX,Early cancer and dementia detection tools,,,,,,,Leverages AI-based imaging and biomarkers,"VitaDX identifies subclinical changes that could signal early malignancy or cognitive decline.",
CellPharma Rejuvenation,Platform for partial cellular reprogramming,,,,,,,Applies Yamanaka factors in vivo with caution,"CellPharma Rejuvenation tries to find safe dosing strategies for epigenetic reprogramming that won’t cause tumors.",
AgeCircuit,Designs microchips for digital biomarkers of aging,,,,,,,Creates wearables that measure physiological signals,"AgeCircuit uses analog-digital converters specifically for monitoring vital signs in older adults.",
ApexBiome,Microbiome therapies for longevity,,,,,,,Develops next-gen probiotics targeted at seniors,"ApexBiome genetically engineers probiotic strains to address aging gut dysbiosis and inflammation.",
Cronus Labs,Investigates synergy between fasting and nutraceuticals,,,,,,,Tests how fasting mimetics interact with certain supplements,"Cronus Labs aims to refine protocols combining time-restricted eating with key dietary compounds to extend healthspan.",
CellVie-2,Second pipeline under CellVie brand,,,,,,,Further exploring universal mitochondria donors,"Believed to be working on off-the-shelf mitochondria for acute therapy in older organs.",
Finless Foods Longevity,Spin-off exploring omega-3 for anti-aging from cell-based fish,,,,,,,Produces cell-cultured fish with enhanced nutrients,"Might apply cultured seafood with boosted omega-3 to reduce inflammation in aging.",
DAF (Democratic Alliance for Futurism),Grassroots group promoting legislative support for aging research,,,,,,,Advocates policy changes to fund longevity science,"DAF lobbies for increased government involvement and financing of longevity R&D programs.",
CryoCell MENA,Cryonics facility in the Middle East/North Africa,,,,,,,Offers cryopreservation services regionally,"CryoCell MENA caters to clients seeking long-term biological storage in MENA countries.",
AgeRate-2,Second pipeline from AgeRate brand,,,,,,,Additional epigenetic panels with advanced accuracy,"Possibly includes more refined biomarkers for muscle mass, bone density, or other aging factors.",
Longeveron,Cellular therapies for aging (LMSCs),https://longeveron.com,https://en.wikipedia.org/wiki/Longeveron,,,,Develops medicinal signaling cells (MSCs) for older adults,"Longeveron is studying the use of MSCs to treat conditions like frailty and improve overall health in seniors.",
RegenaBone Labs,Bone regeneration specifically for osteoporotic patients,,,,,,,Aims to strengthen bones in advanced age,"RegenaBone uses combination therapy of growth factors and mechanical stimulation for bone density.",
NovaMin Therapeutics,Investigates mineral-based rejuvenation (skin, oral health),,,,,,,Uses bioactive minerals for tissue repair,"NovaMin’s technology is being adapted from dental to potential skin and bone aging applications.",
TissueLabs,3D bioprinting platform for vasculature,,,,,,,Print vasculature to supply lab-grown tissues,"TissueLabs helps address vascularization, a key challenge in organ printing for older patients.",
GliaCare,Targets glial cell dysfunction in brain aging,,,,,,,Develops drugs that modulate astrocytes and microglia,"GliaCare studies how glial cells impact neuroinflammation and cognitive decline.",
Mitogain,Combines exercise mimetics with NAD+ boosters,,,,,,,Looks to replicate exercise benefits pharmaceutically,"Mitogain’s pipeline includes compounds that mimic the mitochondrial biogenesis triggered by intense exercise.",
VedantaBio Longevity,Branch of Vedanta Biosciences focusing on microbiome & aging,https://www.vedantabio.com,,,,,,Uses bacterial consortia to modulate age-related immune decline,"VedantaBio’s longevity arm aims to restore beneficial gut flora in older adults.",
ReFOXO Labs,Studies FOXO transcription factors in longevity,,,,,,,Seeks to enhance FOXO expression for stress resistance,"ReFOXO Labs explores how upregulating FOXO genes can extend healthspan by improving stress resistance.",
SiCell,Single-cell therapy approaches for degenerative disease,,,,,,,Uses single-cell profiling to customize treatments,"SiCell designs individualized cell therapies after analyzing each patient’s cell population.",
YouthFlow,Hormonal optimization for older adults,,,,,,,Provides endocrine therapy to slow aspects of aging,"YouthFlow carefully administers hormones (GH, testosterone, etc.) under medical supervision.",
SenAdapt,Adapts senolytic strategies to different tissues,,,,,,,Tissue-specific senolytics to reduce side effects,"SenAdapt tailors senolytic molecules for lung, liver, or kidney usage specifically in aging patients.",
BioTork Longevity,Uses microbial fermentation to produce geroprotective nutrients,,,,,,,Makes specialized fats or amino acids that may prolong life,"BioTork harnesses engineered microbes to mass-produce unique nutrients relevant to healthy aging.",
Selphagy Therapeutics,Focused on enhancing autophagy in older cells,,,,,,,Boosts cellular cleanup processes,"Selphagy Therapeutics works to restore robust autophagy, preventing buildup of damaged proteins.",
